 print model.best_params_
{'max_features': 'sqrt', 'min_samples_split': 18, 'max_depth': 13}



>>> print model.grid_scores_
[mean: 0.59856, std: 0.03144, params: {'max_features': 'auto', 'min_samples_split': 2, 'max_depth': 1}, 
mean: 0.65666, std: 0.03394, params: {'max_features': 'log2', 'min_samples_split': 6, 'max_depth': 13}, 
mean: 0.65742, std: 0.03618, params: {'max_features': 'log2', 'min_samples_split': 10, 'max_depth': 13},
 mean: 0.65734, std: 0.03629, params: {'max_features': 'log2', 'min_samples_split': 14, 'max_depth': 13}, 
mean: 0.65883, std: 0.03815, params: {'max_features': 'log2', 'min_samples_split': 18, 'max_depth': 13}, 
mean: 0.64594, std: 0.03182, params: {'max_features': 'auto', 'min_samples_split': 2, 'max_depth': 17}, 
mean: 0.64951, std: 0.03267, params: {'max_features': 'auto', 'min_samples_split': 6, 'max_depth': 17}, 
mean: 0.65039, std: 0.03420, params: {'max_features': 'auto', 'min_samples_split': 10, 'max_depth': 17}, 
mean: 0.64852, std: 0.03314, params: {'max_features': 'auto', 'min_samples_split': 14, 'max_depth': 17},
 mean: 0.65046, std: 0.03409, params: {'max_features': 'auto', 'min_samples_split': 18, 'max_depth': 17}, 
mean: 0.65137, std: 0.03468, params: {'max_features': 'sqrt', 'min_samples_split': 2, 'max_depth': 17}, 
mean: 0.64806, std: 0.03430, params: {'max_features': 'sqrt', 'min_samples_split': 6, 'max_depth': 17},
 mean: 0.65128, std: 0.03366, params: {'max_features': 'sqrt', 'min_samples_split': 10, 'max_depth': 17}, 
mean: 0.65145, std: 0.03319, params: {'max_features': 'sqrt', 'min_samples_split': 14, 'max_depth': 17},
 mean: 0.64953, std: 0.03472, params: {'max_features': 'sqrt', 'min_samples_split': 18, 'max_depth': 17},
 mean: 0.65004, std: 0.03389, params: {'max_features': 'log2', 'min_samples_split': 2, 'max_depth': 17}, 
mean: 0.64956, std: 0.03261, params: {'max_features': 'log2', 'min_samples_split': 6, 'max_depth': 17}, 
mean: 0.64981, std: 0.03149, params: {'max_features': 'log2', 'min_samples_split': 10, 'max_depth': 17}, 
mean: 0.64835, std: 0.02888, params: {'max_features': 'log2', 'min_samples_split': 14, 'max_depth': 17},
 mean: 0.64985, std: 0.03402, params: {'max_features': 'log2', 'min_samples_split': 18, 'max_depth': 17}]

